Date,Category,Numbers
April_4,New_Cases,375
April_4,Deaths_No,94
April_4,Less_than_19,93
April_4,Age_40_59,1319
April_4,Age_20_39,1025
April_4,Age_60_79,903
April_4,Over_80,280
April_5,New_Cases,408
April_5,Deaths_No,119
April_5,Less_than_19,99
April_5,Age_40_59,1430
April_5,Age_20_39,1111
April_5,Age_60_79,1002
April_5,Over_80,392
April_6,New_Cases,309
April_6,Deaths_No,132
April_6,Less_than_19,107
April_6,Age_40_59,1537
April_6,Age_20_39,1167
April_6,Age_60_79,1077
April_6,Over_80,455
April_7,New_Cases,379
April_7,Deaths_No,153
April_7,Less_than_19,120
April_7,Age_40_59,1663
April_7,Age_20_39,1263
April_7,Age_60_79,1168
April_7,Over_80,509
April_8,New_Cases,550
April_8,Deaths_No,174
April_8,Less_than_19,129
April_8,Age_40_59,1851
April_8,Age_20_39,1369
April_8,Age_60_79,1300
April_8,Over_80,624
April_9,New_Cases,483
April_9,Deaths_No,200
April_9,Less_than_19,141
April_9,Age_40_59,1996
April_9,Age_20_39,1464
April_9,Age_60_79,1412
April_9,Over_80,740
April_10,New_Cases,478
April_10,Deaths_No,220
April_10,Less_than_19,150
April_10,Age_40_59,2158
April_10,Age_20_39,1571
April_10,Age_60_79,1509
April_10,Over_80,835
April_11,New_Cases,411
April_11,Deaths_No,251
April_11,Less_than_19,159
April_11,Age_40_59,2300
April_11,Age_20_39,1649
April_11,Age_60_79,1615
April_11,Over_80,917
April_12,New_Cases,401
April_12,Deaths_No,272
April_12,Less_than_19,169
April_12,Age_40_59,2404
April_12,Age_20_39,1741
April_12,Age_60_79,1712
April_12,Over_80,1029
